title,paper_file,video_file,subtitle_file,video_url,data_imported
Will You Accept an Imperfect AI? Exploring Designs for Adjusting End-user Expectations of ...,,./video/110.mp4,./__subtitles/110.srt,https://www.youtube.com/watch?v=y-4ZvxPFaCs,N
Sampling Strategy for Ultrasonic Mid-Air Haptics,,./video/111.mp4,./__subtitles/111.srt,https://www.youtube.com/watch?v=zHeGCzLgqFI,N
Exploring Virtual Agents for Augmented Reality,,./video/112.mp4,./__subtitles/112.srt,https://www.youtube.com/watch?v=UO7m89mFM2A,N
VelociWatch: Designing and Evaluating a Virtual Keyboard for the Input of Challenging Text,,./video/113.mp4,./__subtitles/113.srt,https://www.youtube.com/watch?v=O5TBQbxFMfA,N
HotStrokes: Word-Gesture Shortcuts on a Trackpad,,./video/114.mp4,./__subtitles/114.srt,https://www.youtube.com/watch?v=iSQYejYs1fg,N
Designing Theory-Driven User-Centric Explainable AI,,./video/115.mp4,./__subtitles/115.srt,https://www.youtube.com/watch?v=RS7jP-6AHck,N
Egocentric Smaller-person Experience through a Change in Visual Perspective,,./video/116.mp4,./__subtitles/116.srt,https://www.youtube.com/watch?v=qiGOvoS83Qs,N
"Protection, Productivity and Pleasure in the Smart Home: Emerging Expectations and Gendered ...",,./video/117.mp4,./__subtitles/117.srt,https://www.youtube.com/watch?v=-xpsXmlqKpU,N
Metaphoria: An Algorithmic Companion for Metaphor Creation,,./video/118.mp4,./__subtitles/118.srt,https://www.youtube.com/watch?v=kyFipX3y5Sk,N
A Design Space for Gaze Interaction on Head-mounted Displays,,./video/119.mp4,./__subtitles/119.srt,https://www.youtube.com/watch?v=91VMIz6MAZ8,N
Augmented Reality Views for Occluded Interaction,,./video/120.mp4,./__subtitles/120.srt,https://www.youtube.com/watch?v=nxf6xW_z_s4,N
Understanding the Social Acceptability of Mobile Devices using the Stereotype Content Model,,./video/121.mp4,./__subtitles/121.srt,https://www.youtube.com/watch?v=59h-efcue9I,N
Empowering Expression for Users with Aphasia through Constrained Creativity,,./video/122.mp4,./__subtitles/122.srt,https://www.youtube.com/watch?v=xHkhdD-Ek58,N
May AI? Design Ideation with Cooperative Contextual Bandits,,./video/123.mp4,./__subtitles/123.srt,https://www.youtube.com/watch?v=77-UFZZD3GQ,N
Caring for Vincent: A Chatbot for Self-Compassion,,./video/124.mp4,./__subtitles/124.srt,https://www.youtube.com/watch?v=AQZo1JpxkcA,N
The Role of Physical Props in VR Climbing Environments,,./video/125.mp4,./__subtitles/125.srt,https://www.youtube.com/watch?v=5iVaj1CPDXo,N
"""Like Popcorn"": Crossmodal Correspondences Between Scents, 3D Shapes and Emotions in Children",,./video/126.mp4,./__subtitles/126.srt,https://www.youtube.com/watch?v=4auFYl17k0A,N
Power Struggles and Disciplined Designers – A Nexus Analytic Inquiry on Cross-Disciplinary ...,,./video/127.mp4,./__subtitles/127.srt,https://www.youtube.com/watch?v=bSPU84SGG2c,N
Hackathons as Participatory Design: Iterating Feminist Utopias,,./video/128.mp4,./__subtitles/128.srt,https://www.youtube.com/watch?v=22EeXYm9BZI,N
Blockchain Assemblages: Whiteboxing Technology and Transforming Infrastructural Imaginaries,,./video/129.mp4,./__subtitles/129.srt,https://www.youtube.com/watch?v=QNEFdcc9_9g,N
Gamified Ads: Bridging the Gap Between User Enjoyment and the Effectiveness of Online Ads,,./video/130.mp4,./__subtitles/130.srt,https://www.youtube.com/watch?v=_ChjZ7FDUg0,N
Hands Holding Clues for Object Recognition in Teachable Machines,,./video/131.mp4,./__subtitles/131.srt,https://www.youtube.com/watch?v=4NBuqmwUryk,N
HistoryTracker: Minimizing Human Interactions in Baseball Game Annotation,,./video/132.mp4,./__subtitles/132.srt,https://www.youtube.com/watch?v=pmLnEUfGCgI,N
Ten-Minute Silence: A New Notification UX of Mobile Instant Messenger,,./video/133.mp4,./__subtitles/133.srt,https://www.youtube.com/watch?v=Jfp_cOSH_6k,N
