,title,paper_file,video_file,subtitle_file,video_url,data_imported
56,Pac-Euglena: A Living Cellular Pac-Man Meets Virtual Ghosts,,./video/56.mp4,./__subtitles/56.srt,https://www.youtube.com/watch?v=w5eqlJZCsWc,N
57,Why do people watch others eat food? An Empirical Study on the Motivations and Practices of ...,,./video/57.mp4,./__subtitles/57.srt,https://www.youtube.com/watch?v=Dkp8A_em90M,N
58,C-Space: An Interactive Prototyping Platform for Collaborative Spatial Design Exploration,,./video/58.mp4,./__subtitles/58.srt,https://www.youtube.com/watch?v=MVcmPj7TtQY,N
59,Proxemics Beyond Proximity: Designing for Flexible Social Interaction Through Cross-Device ...,,./video/59.mp4,./__subtitles/59.srt,https://www.youtube.com/watch?v=5fUIo9sGNgA,N
60,MicroMentor: Peer-to-Peer Software Help Sessions in Three Minutes or Less,,./video/60.mp4,./__subtitles/60.srt,https://www.youtube.com/watch?v=uTWohXZmoX0,N
61,CreaTable Content and Tangible Interaction in Aphasia,,./video/61.mp4,./__subtitles/61.srt,https://www.youtube.com/watch?v=y2cF6wiJXWk,N
62,KirigamiTable: Designing for Proxemic Transitions with a Shape-Changing Tabletop,,./video/62.mp4,./__subtitles/62.srt,https://www.youtube.com/watch?v=6Mc6JpDAIBQ,N
63,Towards an Understanding of Augmented Reality Extensions for Existing 3D Data Analysis Tools,,./video/63.mp4,./__subtitles/63.srt,https://www.youtube.com/watch?v=lVwsgZRZyWk,N
64,"Designing and Evaluating 'In the Same Boat', A Game of Embodied Synchronization for Enhancing ...",,./video/64.mp4,./__subtitles/64.srt,https://www.youtube.com/watch?v=y3Yno8w0BWc,N
65,Interspecies Interactions Mediated by Technology: An Avian Case Study at the Zoo,,./video/65.mp4,./__subtitles/65.srt,https://www.youtube.com/watch?v=TobTSTBQWi4,N
66,On Conducting Security Developer Studies with CS Students: Examining a Password-Storage Study ...,,./video/66.mp4,./__subtitles/66.srt,https://www.youtube.com/watch?v=ALGSldPFB7M,N
67,Interactive Multisensory Environments for Primary School Children,,./video/67.mp4,./__subtitles/67.srt,https://www.youtube.com/watch?v=UIKvrBLjZ_g,N
68,Addressing Cognitive and Emotional Barriers in Parent-Clinician Communication through Behavioral ...,,./video/68.mp4,./__subtitles/68.srt,https://www.youtube.com/watch?v=pGUSKKCenXU,N
69,Emergent Self-Regulation Practices in Technology and Social Media Use of Individuals Living with ...,,./video/69.mp4,./__subtitles/69.srt,https://www.youtube.com/watch?v=KaaQaHoU63k,N
70,Investigating User-Created Gamification in an Image Tagging Task,,./video/70.mp4,./__subtitles/70.srt,https://www.youtube.com/watch?v=onPYGiGVw8s,N
71,Informing the Design of Privacy-Empowering Tools for the Connected Home,,./video/71.mp4,./__subtitles/71.srt,https://www.youtube.com/watch?v=An72QTsh210,N
72,Towards an AI-powered Future that Works for Vocational Workers,,./video/72.mp4,./__subtitles/72.srt,https://www.youtube.com/watch?v=AEp9xAaygFc,N
73,Teenage Visitor Experience: Classification of Behavioral Dynamics in Museums,,./video/73.mp4,./__subtitles/73.srt,https://www.youtube.com/watch?v=Gv_lGehFEEo,N
74,Autocomplete Element Fields,,./video/74.mp4,./__subtitles/74.srt,https://www.youtube.com/watch?v=4QYbCruIEgk,N
75,Walk The Line: Leveraging Lateral Shifts of the Walking Path as an Input Modality for ...,,./video/75.mp4,./__subtitles/75.srt,https://www.youtube.com/watch?v=uQ5w3Wvrb3w,N
76,How We Type: Eye and Finger Movement Strategies in Mobile Typing,,./video/76.mp4,./__subtitles/76.srt,https://www.youtube.com/watch?v=PTwdFwfVGC8,N
77,Positive Feedback and Self-Reflection: Features to Support Self-efficacy among Underrepresented ...,,./video/77.mp4,./__subtitles/77.srt,https://www.youtube.com/watch?v=mYu-UHOOQt4,N
78,BodyLights: Open-Ended Augmented Feedback to Support Training Towards a Correct Exercise Execution,,./video/78.mp4,./__subtitles/78.srt,https://www.youtube.com/watch?v=GtEDA4smIfU,N
79,Me vs. Super(wo)man: Effects of Customization and Identification in a VR Exergame,,./video/79.mp4,./__subtitles/79.srt,https://www.youtube.com/watch?v=P7sq-sL0DJA,N
80,Exploring Visual Information Flows in Infographics,,./video/80.mp4,./__subtitles/80.srt,https://www.youtube.com/watch?v=IuK0XVBlCPU,N
81,MoveVR: Enabling Multiform Force Feedback in Virtual Reality using Household Cleaning Robot,,./video/81.mp4,./__subtitles/81.srt,https://www.youtube.com/watch?v=DxwJ1zTJWJg,N
82,"Exploring the Quality, Efficiency, and Representative Nature of Responses Across Multiple Survey ...",,./video/82.mp4,./__subtitles/82.srt,https://www.youtube.com/watch?v=u-wGSqKhSD0,N
83,What HCI Can Learn from ASMR: Becoming Enchanted with the Mundane,,./video/83.mp4,./__subtitles/83.srt,https://www.youtube.com/watch?v=KwO1WsZENa4,N
84,AL: An Adaptive Learning Support System for Argumentation Skills,,./video/84.mp4,./__subtitles/84.srt,https://www.youtube.com/watch?v=w-5QrS1rR54,N
85,Alexa as Coach: Leveraging Smart Speakers to Build Social Agents that Reduce Public Speaking Anxiety,,./video/85.mp4,./__subtitles/85.srt,https://www.youtube.com/watch?v=Fxn4klhCW5k,N
86,"The Social Network: How People with Visual Impairment use Mobile Phones in Kibera, Kenya",,./video/86.mp4,./__subtitles/86.srt,https://www.youtube.com/watch?v=RR5jEyxI4pE,N
87,GRIDS: Interactive Layout Design with Integer Programming,,./video/87.mp4,./__subtitles/87.srt,https://www.youtube.com/watch?v=GIWp8kiEkxg,N
88,Brooke Leave Home: Designing a Personalized Film to Support Public Engagement with Open Data,,./video/88.mp4,./__subtitles/88.srt,https://www.youtube.com/watch?v=cHt7zL0kQAA,N
89,"Designing and Evaluating Calmer, a Device for Simulating Maternal Skin-to-Skin Holding for ...",,./video/89.mp4,./__subtitles/89.srt,https://www.youtube.com/watch?v=CluRcCnLiaw,N
90,Collaborative Writing Across Multiple Artifact Ecologies,,./video/90.mp4,./__subtitles/90.srt,https://www.youtube.com/watch?v=26CGsTmySao,N
91,Classification of Functional Attention in Video Meetings,,./video/91.mp4,./__subtitles/91.srt,https://www.youtube.com/watch?v=l5FZqcj8cio,N
92,Temporal Segmentation of Creative Live Streams,,./video/92.mp4,./__subtitles/92.srt,https://www.youtube.com/watch?v=Dn7dygKqvxI,N
93,ElastOscillation: 3D Multilevel Force Feedback for Damped Oscillation on VR Controllers,,./video/93.mp4,./__subtitles/93.srt,https://www.youtube.com/watch?v=Za-yDqn1tgc,N
94,Neo-Noumena: Augmenting Emotion Communication,,./video/94.mp4,./__subtitles/94.srt,https://www.youtube.com/watch?v=vQ7sFeBwRl8,N
95,The Next Generation of Human-Drone Partnerships: Co-Designing an Emergency Response System,,./video/95.mp4,./__subtitles/95.srt,https://www.youtube.com/watch?v=SCMiSvvqCKs,N
96,MaraVis: Representation and Coordinated Intervention of Medical Encounters in Urban Marathon,,./video/96.mp4,./__subtitles/96.srt,https://www.youtube.com/watch?v=Ertr4q_nydc,N
97,A Human-Centered Review of Algorithms used within the U.S. Child Welfare System,,./video/97.mp4,./__subtitles/97.srt,https://www.youtube.com/watch?v=1QMfEyzOd48,N
98,An Interaction Design for Machine Teaching to Develop AI Tutors,,./video/98.mp4,./__subtitles/98.srt,https://www.youtube.com/watch?v=2_CgZl5-jEw,N
99,"Embedding a VR Game Studio in a Sedentary Workplace: Use, Experience and Exercise Benefits",,./video/99.mp4,./__subtitles/99.srt,https://www.youtube.com/watch?v=0vA70NAF7ow,N
100,Button Simulation and Design via FDVV Models,,./video/100.mp4,./__subtitles/100.srt,https://www.youtube.com/watch?v=v9p-yCNbxzw,N
101,On Being Iterated: The Affective Demands of Design Participation,,./video/101.mp4,./__subtitles/101.srt,https://www.youtube.com/watch?v=ulyOG08o6i8,N
102,Fake News on Facebook and Twitter: Investigating How People (Don't) Investigate,,./video/102.mp4,./__subtitles/102.srt,https://www.youtube.com/watch?v=GVgyhibIBrw,N
103,Reframing Disability as Competency: Unpacking Everyday Technology Practices of People with ...,,./video/103.mp4,./__subtitles/103.srt,https://www.youtube.com/watch?v=-Pk3MzIe9NM,N
